mode,route,name ,longitude,latitude,duration,time,durationsec
driving,2,driving,77.57911029,13.0062809,80,80,4800
driving,2,driving,77.58030427,13.00550568,80,80,4800
driving,2,driving,77.58197666,13.00452799,80,80,4800
driving,2,driving,77.58343402,13.00366668,80,80,4800
driving,2,driving,77.58412686,13.00294505,80,80,4800
driving,2,driving,77.58412686,13.0001516,80,80,4800
driving,2,driving,77.58422243,12.99828929,80,80,4800
driving,2,driving,77.58455596,12.99629941,80,80,4800
driving,2,driving,77.58516477,12.99321468,80,80,4800
driving,2,driving,77.58589534,12.98888413,80,80,4800
driving,2,driving,77.58790441,12.98734173,80,80,4800
driving,2,driving,77.58991348,12.98550269,80,80,4800
driving,2,driving,77.59180079,12.98336702,80,80,4800
driving,2,driving,77.59199107,12.9832897,80,80,4800
driving,2,driving,77.59207528,12.9831976,80,80,4800
driving,2,driving,77.59223802,12.98317494,80,80,4800
driving,2,driving,77.59236483,12.98333764,80,80,4800
driving,2,driving,77.59267397,12.98417517,80,80,4800
driving,2,driving,77.59276907,12.98420194,80,80,4800
driving,2,driving,77.59309244,12.98410721,80,80,4800
driving,2,driving,77.59415748,12.9837571,80,80,4800
driving,2,driving,77.59607413,12.98313205,80,80,4800
driving,2,driving,77.59890128,12.98212378,80,80,4800
driving,2,driving,77.60559775,12.979831,80,80,4800
driving,2,driving,77.60712393,12.9792398,80,80,4800
driving,2,driving,77.606741,12.97803303,80,80,4800
driving,2,driving,77.60692839,12.97785042,80,80,4800
driving,2,driving,77.60920152,12.97711207,80,80,4800
driving,2,driving,77.61445968,12.97538849,80,80,4800
driving,2,driving,77.61396269,12.97372122,80,80,4800
driving,2,driving,77.61814744,12.97277125,80,80,4800
driving,2,driving,77.61930437,12.97263627,80,80,4800
driving,2,driving,77.62083608,12.97275537,80,80,4800
driving,2,driving,77.62221254,12.97319098,80,80,4800
driving,2,driving,77.62301099,12.97365941,80,80,4800
driving,2,driving,77.62389091,12.97417547,80,80,4800
driving,2,driving,77.62493376,12.97482652,80,80,4800
driving,2,driving,77.62586256,12.97547754,80,80,4800
driving,2,driving,77.6266936,12.97650966,80,80,4800
driving,2,driving,77.62721175,12.9773698,80,80,4800
driving,2,driving,77.62810796,12.97797319,80,80,4800
driving,2,driving,77.62873531,12.97841779,80,80,4800
driving,2,driving,77.62934637,12.97854481,80,80,4800
driving,2,driving,77.63015296,12.97841779,80,80,4800
driving,2,driving,77.63267973,12.97821123,80,80,4800
driving,2,driving,77.63384481,12.97823505,80,80,4800
driving,2,driving,77.63884756,12.97836897,80,80,4800
driving,2,driving,77.63866017,12.98233721,80,80,4800
driving,2,driving,77.63959712,12.98236897,80,80,4800
driving,2,driving,77.63958897,12.98258333,80,80,4800
